CH0, CH1, ANN
-0.285,-0.285, 0
-0.3,-0.28, 0
-0.3,-0.295, 0
-0.305,-0.295, 0
-0.31,-0.295, 0
-0.3,-0.275, 0
-0.295,-0.26, 0
-0.285,-0.275, 0
-0.285,-0.275, 0
-0.295,-0.285, 0
-0.3,-0.275, 0
-0.28,-0.265, 0
-0.275,-0.265, 0
-0.27,-0.265, 0
-0.265,-0.265, 0
-0.28,-0.275, 0
-0.29,-0.265, 0
-0.27,-0.265, 0
-0.275,-0.255, 0
-0.255,-0.26, 0
-0.275,-0.27, 0
-0.285,-0.27, 0
-0.285,-0.265, 0
-0.275,-0.26, 0
-0.26,-0.25, 0
-0.27,-0.255, 0
-0.28,-0.26, 0
-0.28,-0.275, 0
-0.285,-0.28, 0
-0.28,-0.25, 0
-0.255,-0.245, 0
-0.26,-0.24, 0
-0.265,-0.25, 0
-0.275,-0.265, 0
-0.27,-0.265, 0
-0.25,-0.25, 0
-0.245,-0.265, 0
-0.235,-0.25, 0
-0.235,-0.27, 0
-0.235,-0.27, 0
-0.235,-0.255, 0
-0.22,-0.24, 0
-0.2,-0.24, 0
-0.195,-0.235, 0
-0.195,-0.24, 0
-0.205,-0.24, 0
-0.195,-0.23, 0
-0.185,-0.22, 0
-0.155,-0.205, 0
-0.17,-0.195, 0
-0.165,-0.21, 0
-0.16,-0.22, 0
-0.16,-0.205, 0
-0.165,-0.21, 0
-0.165,-0.195, 0
-0.17,-0.19, 0
-0.165,-0.195, 0
-0.185,-0.19, 0
-0.185,-0.185, 0
-0.17,-0.185, 0
-0.175,-0.18, 0
-0.165,-0.19, 0
-0.185,-0.195, 0
-0.19,-0.205, 0
-0.19,-0.195, 0
-0.165,-0.185, 0
-0.145,-0.195, 0
-0.145,-0.2, 0
-0.18,-0.2, 0
-0.215,-0.215, 0
-0.235,-0.22, 0
-0.23,-0.215, 0
-0.245,-0.21, 0
-0.26,-0.22, 0
-0.275,-0.225, 0
-0.28,-0.235, 0
-0.285,-0.245, 0
-0.285,-0.225, 0
-0.275,-0.23, 0
-0.27,-0.225, 0
-0.28,-0.235, 0
-0.28,-0.25, 0
-0.29,-0.23, 0
-0.275,-0.23, 0
-0.275,-0.23, 0
-0.28,-0.23, 0
-0.29,-0.245, 0
-0.295,-0.255, 0
-0.3,-0.255, 0
-0.295,-0.235, 0
-0.28,-0.23, 0
-0.28,-0.24, 0
-0.285,-0.245, 0
-0.28,-0.25, 0
-0.285,-0.23, 0
-0.27,-0.22, 0
-0.26,-0.215, 0
-0.27,-0.22, 0
-0.26,-0.235, 0
-0.275,-0.245, 0
-0.28,-0.235, 0
-0.28,-0.22, 0
-0.265,-0.225, 0
-0.275,-0.26, 0
-0.285,-0.29, 0
-0.32,-0.32, 0
-0.35,-0.33, 0
-0.385,-0.345, 0
-0.395,-0.375, 0
-0.415,-0.35, 0
-0.44,-0.29, 0
-0.465,-0.18, 0
-0.46,-0.03, 0
-0.375,0.095, 0
-0.24,0.17, 0
-0.08,0.26, 0
0.08,0.345, 0
0.27,0.465, 0
0.54,0.585, 0
0.81,0.655, 0
1.025,0.59, 0
1.115,0.31, 0
1.08,-0.08, 0
0.855,-0.355, 0
0.43,-0.4, 0
0.0,-0.33, 0
-0.285,-0.285, 0
-0.4,-0.28, 0
-0.4,-0.265, 0
-0.365,-0.27, 0
-0.335,-0.26, 0
-0.3,-0.265, 0
-0.285,-0.25, 0
-0.28,-0.27, 0
-0.29,-0.27, 0
-0.295,-0.27, 0
-0.3,-0.26, 0
-0.29,-0.245, 0
-0.275,-0.255, 0
-0.295,-0.255, 0
-0.3,-0.27, 0
-0.305,-0.275, 0
-0.305,-0.265, 0
-0.31,-0.26, 0
-0.3,-0.26, 0
-0.3,-0.25, 0
-0.315,-0.265, 0
-0.315,-0.275, 0
-0.33,-0.27, 0
-0.31,-0.27, 0
-0.315,-0.255, 0
-0.305,-0.255, 0
-0.315,-0.26, 0
-0.315,-0.26, 0
-0.315,-0.26, 0
-0.3,-0.26, 0
-0.295,-0.255, 0
-0.3,-0.25, 0
-0.315,-0.255, 0
-0.315,-0.265, 0
-0.31,-0.255, 0
-0.3,-0.245, 0
-0.3,-0.24, 0
-0.295,-0.235, 0
-0.31,-0.255, 0
-0.32,-0.26, 0
-0.32,-0.255, 0
-0.31,-0.245, 0
-0.295,-0.25, 0
-0.3,-0.24, 0
-0.315,-0.26, 0
-0.325,-0.245, 0
-0.33,-0.245, 0
-0.325,-0.24, 0
-0.3,-0.245, 0
-0.315,-0.245, 0
-0.325,-0.26, 0
-0.325,-0.255, 0
-0.315,-0.255, 0
-0.31,-0.245, 0
-0.31,-0.235, 0
-0.32,-0.245, 0
-0.325,-0.255, 0
-0.33,-0.26, 0
-0.33,-0.255, 0
-0.33,-0.25, 0
-0.305,-0.245, 0
-0.305,-0.235, 0
-0.31,-0.255, 0
-0.32,-0.27, 0
-0.32,-0.275, 0
-0.305,-0.28, 0
-0.3,-0.265, 0
-0.3,-0.27, 0
-0.31,-0.285, 0
-0.315,-0.285, 0
-0.325,-0.285, 0
-0.315,-0.28, 0
-0.315,-0.29, 0
-0.31,-0.295, 0
-0.32,-0.315, 0
-0.32,-0.33, 0
-0.32,-0.33, 0
-0.325,-0.33, 0
-0.325,-0.32, 0
-0.33,-0.34, 0
-0.335,-0.35, 0
-0.345,-0.365, 0
-0.35,-0.365, 0
-0.335,-0.355, 0
-0.345,-0.345, 0
-0.345,-0.35, 0
-0.345,-0.37, 0
-0.355,-0.37, 0
-0.355,-0.355, 0
-0.335,-0.355, 0
-0.335,-0.345, 0
-0.335,-0.355, 0
-0.34,-0.365, 0
-0.345,-0.37, 0
-0.335,-0.365, 0
-0.325,-0.35, 0
-0.335,-0.335, 0
-0.325,-0.33, 0
-0.315,-0.33, 0
-0.32,-0.33, 0
-0.31,-0.305, 0
-0.295,-0.29, 0
-0.27,-0.26, 0
-0.27,-0.245, 0
-0.27,-0.245, 0
-0.265,-0.235, 0
-0.255,-0.21, 0
-0.24,-0.195, 0
-0.225,-0.19, 0
-0.205,-0.175, 0
-0.215,-0.18, 0
-0.21,-0.175, 0
-0.21,-0.155, 0
-0.19,-0.145, 0
-0.18,-0.145, 0
-0.175,-0.15, 0
-0.175,-0.165, 0
-0.18,-0.16, 0
-0.185,-0.155, 0
-0.165,-0.13, 0
-0.15,-0.13, 0
-0.155,-0.145, 0
-0.165,-0.145, 0
-0.17,-0.16, 0
-0.17,-0.15, 0
-0.165,-0.145, 0
-0.155,-0.14, 0
-0.155,-0.14, 0
-0.16,-0.145, 0
-0.16,-0.16, 0
-0.175,-0.16, 0
-0.165,-0.145, 0
-0.16,-0.14, 0
-0.165,-0.155, 0
-0.175,-0.16, 0
-0.185,-0.17, 0
-0.19,-0.17, 0
-0.185,-0.145, 0
-0.165,-0.145, 0
-0.165,-0.15, 0
-0.175,-0.175, 0
-0.185,-0.18, 0
-0.19,-0.175, 0
-0.19,-0.16, 0
-0.165,-0.15, 0
-0.175,-0.145, 0
-0.19,-0.17, 0
-0.19,-0.185, 0
-0.19,-0.165, 0
-0.185,-0.155, 0
-0.18,-0.17, 0
-0.18,-0.165, 0
-0.185,-0.17, 0
-0.195,-0.175, 0
-0.195,-0.18, 0
-0.19,-0.175, 0
-0.185,-0.175, 0
-0.19,-0.185, 0
-0.2,-0.18, 0
-0.195,-0.185, 0
-0.215,-0.185, 0
-0.195,-0.17, 0
-0.205,-0.17, 0
-0.195,-0.18, 0
-0.215,-0.205, 0
-0.225,-0.195, 0
-0.225,-0.18, 0
-0.22,-0.175, 0
-0.21,-0.165, 0
-0.205,-0.18, 0
-0.215,-0.185, 0
-0.225,-0.205, 0
-0.22,-0.2, 0
-0.215,-0.175, 0
-0.205,-0.18, 0
-0.205,-0.17, 0
-0.215,-0.19, 0
-0.21,-0.195, 0
-0.22,-0.19, 0
-0.21,-0.18, 0
-0.195,-0.19, 0
-0.2,-0.185, 0
-0.205,-0.19, 0
-0.205,-0.19, 0
-0.21,-0.18, 0
-0.205,-0.18, 0
-0.195,-0.19, 0
-0.215,-0.175, 0
-0.215,-0.18, 0
-0.225,-0.19, 0
-0.225,-0.19, 0
-0.22,-0.18, 0
-0.21,-0.175, 0
-0.205,-0.165, 0
-0.205,-0.18, 0
-0.22,-0.19, 0
-0.22,-0.185, 0
-0.21,-0.17, 0
-0.2,-0.175, 0
-0.2,-0.18, 0
-0.2,-0.19, 0
-0.2,-0.19, 0
-0.2,-0.185, 0
-0.19,-0.17, 0
-0.185,-0.16, 0
-0.2,-0.165, 0
-0.19,-0.185, 0
-0.195,-0.195, 0
-0.2,-0.185, 0
-0.16,-0.185, 0
-0.14,-0.16, 0
-0.12,-0.165, 0
-0.13,-0.175, 0
-0.12,-0.18, 0
-0.135,-0.175, 0
-0.12,-0.15, 0
-0.115,-0.14, 0
-0.12,-0.15, 0
-0.11,-0.145, 0
-0.105,-0.145, 0
-0.1,-0.135, 0
-0.095,-0.145, 0
-0.095,-0.13, 0
-0.1,-0.13, 0
-0.105,-0.14, 0
-0.125,-0.14, 0
-0.13,-0.11, 0
-0.12,-0.105, 0
-0.09,-0.11, 0
-0.11,-0.11, 0
-0.12,-0.125, 0
-0.125,-0.13, 0
-0.125,-0.13, 0
-0.085,-0.12, 0
-0.065,-0.13, 0
-0.09,-0.145, 0
-0.12,-0.15, 0
-0.15,-0.165, 0
-0.165,-0.155, 0
-0.165,-0.14, 0
-0.185,-0.14, 0
-0.18,-0.145, 0
-0.2,-0.145, 0
-0.22,-0.17, 0
-0.22,-0.165, 0
-0.225,-0.17, 0
-0.215,-0.15, 0
-0.205,-0.16, 0
-0.22,-0.175, 0
-0.225,-0.18, 0
-0.25,-0.16, 0
-0.24,-0.155, 0
-0.22,-0.15, 0
-0.235,-0.16, 0
-0.24,-0.18, 0
-0.23,-0.185, 0
-0.245,-0.175, 0
-0.23,-0.17, 0
-0.235,-0.16, 0
-0.245,-0.16, 0
-0.24,-0.16, 0
-0.25,-0.175, 0
-0.26,-0.17, 0
-0.245,-0.16, 0
-0.245,-0.16, 0
-0.245,-0.17, 0
-0.25,-0.195, 0
-0.265,-0.225, 0
-0.28,-0.26, 0
-0.31,-0.28, 0
-0.35,-0.305, 0
-0.375,-0.335, 0
-0.4,-0.33, 0
-0.435,-0.255, 0
-0.47,-0.115, 0
-0.45,0.02, 0
-0.37,0.135, 0
-0.24,0.21, 0
-0.12,0.27, 0
-0.01,0.315, 0
0.065,0.385, 0
0.165,0.475, 0
0.28,0.565, 0
0.445,0.65, 0
0.645,0.75, 0
0.85,0.85, 0
1.025,0.92, 0
1.155,0.84, 0
1.235,0.525, 0
1.185,0.115, 0
0.97,-0.175, 0
0.55,-0.23, 0
0.08,-0.19, 0
-0.24,-0.18, 0
-0.355,-0.19, 0
-0.33,-0.18, 0
-0.28,-0.18, 0
-0.255,-0.205, 0
-0.255,-0.21, 0
-0.255,-0.205, 0
-0.26,-0.205, 0
-0.27,-0.21, 0
-0.275,-0.215, 0
-0.285,-0.22, 0
-0.28,-0.22, 0
-0.275,-0.21, 0
-0.265,-0.205, 0
-0.265,-0.22, 0
-0.275,-0.225, 0
-0.295,-0.23, 0
-0.295,-0.225, 0
-0.29,-0.22, 0
-0.285,-0.205, 0
-0.285,-0.215, 0
-0.29,-0.225, 0
-0.29,-0.235, 0
-0.31,-0.225, 0
-0.305,-0.215, 0
-0.295,-0.205, 0
-0.285,-0.215, 0
-0.3,-0.225, 0
-0.305,-0.225, 0
-0.32,-0.23, 0
-0.315,-0.215, 0
-0.3,-0.21, 0
-0.31,-0.225, 0
-0.31,-0.23, 0
-0.305,-0.23, 0
-0.305,-0.22, 0
-0.29,-0.21, 0
-0.285,-0.21, 0
-0.285,-0.22, 0
-0.29,-0.225, 0
-0.31,-0.24, 0
-0.305,-0.22, 0
-0.29,-0.205, 0
-0.285,-0.205, 0
-0.285,-0.21, 0
-0.3,-0.23, 0
-0.3,-0.24, 0
-0.31,-0.225, 0
-0.305,-0.23, 0
-0.3,-0.23, 0
-0.295,-0.22, 0
-0.295,-0.235, 0
-0.315,-0.24, 0
-0.315,-0.24, 0
-0.31,-0.225, 0
-0.305,-0.24, 0
-0.31,-0.245, 0
-0.31,-0.26, 0
-0.3,-0.27, 0
-0.31,-0.25, 0
-0.305,-0.255, 0
-0.3,-0.245, 0
-0.3,-0.26, 0
-0.305,-0.27, 0
-0.305,-0.28, 0
-0.31,-0.28, 0
-0.3,-0.265, 0
-0.28,-0.28, 0
-0.295,-0.285, 0
-0.3,-0.3, 0
-0.305,-0.32, 0
-0.315,-0.32, 0
-0.295,-0.315, 0
-0.3,-0.31, 0
-0.295,-0.32, 0
-0.32,-0.33, 0
-0.33,-0.34, 0
-0.335,-0.345, 0
-0.33,-0.335, 0
-0.32,-0.34, 0
-0.32,-0.345, 0
-0.32,-0.365, 0
-0.335,-0.37, 0
-0.345,-0.355, 0
-0.325,-0.35, 0
-0.315,-0.355, 0
-0.315,-0.36, 0
-0.325,-0.37, 0
-0.32,-0.365, 0
-0.32,-0.35, 0
-0.3,-0.33, 0
-0.29,-0.31, 0
-0.29,-0.295, 0
-0.305,-0.295, 0
-0.29,-0.295, 0
-0.285,-0.3, 0
-0.28,-0.29, 0
-0.255,-0.265, 0
-0.265,-0.27, 0
-0.26,-0.27, 0
-0.26,-0.255, 0
-0.27,-0.24, 0
-0.26,-0.22, 0
-0.24,-0.195, 0
-0.24,-0.2, 0
-0.235,-0.19, 0
-0.24,-0.205, 0
-0.235,-0.195, 0
-0.22,-0.18, 0
-0.205,-0.16, 0
-0.215,-0.15, 0
-0.205,-0.15, 0
-0.22,-0.16, 0
-0.205,-0.16, 0
-0.2,-0.14, 0
-0.185,-0.135, 0
-0.18,-0.13, 0
-0.185,-0.15, 0
-0.195,-0.145, 0
-0.2,-0.145, 0
-0.2,-0.135, 0
-0.18,-0.13, 0
-0.185,-0.14, 0
-0.19,-0.15, 0
-0.205,-0.145, 0
-0.21,-0.15, 0
-0.19,-0.13, 0
-0.19,-0.125, 0
-0.195,-0.14, 0
-0.195,-0.15, 0
-0.215,-0.16, 0
-0.21,-0.145, 0
-0.2,-0.13, 0
-0.205,-0.135, 0
-0.2,-0.13, 0
-0.21,-0.15, 0
-0.225,-0.165, 0
-0.23,-0.145, 0
-0.215,-0.14, 0
-0.19,-0.14, 0
-0.2,-0.125, 0
-0.205,-0.13, 0
-0.21,-0.155, 0
-0.215,-0.135, 0
-0.205,-0.13, 0
-0.195,-0.13, 0
-0.19,-0.135, 0
-0.205,-0.13, 0
-0.195,-0.13, 0
-0.205,-0.13, 0
-0.185,-0.125, 0
-0.16,-0.12, 0
-0.16,-0.115, 0
-0.165,-0.13, 0
-0.155,-0.14, 0
-0.165,-0.125, 0
-0.165,-0.115, 0
-0.145,-0.11, 0
-0.15,-0.11, 0
-0.165,-0.135, 0
-0.155,-0.145, 0
-0.16,-0.14, 0
-0.16,-0.125, 0
-0.14,-0.125, 0
-0.135,-0.135, 0
-0.12,-0.155, 0
-0.125,-0.165, 0
-0.15,-0.165, 0
-0.155,-0.15, 0
-0.15,-0.16, 0
-0.155,-0.18, 0
-0.165,-0.175, 0
-0.205,-0.185, 0
-0.22,-0.185, 0
-0.215,-0.175, 0
-0.215,-0.16, 0
-0.215,-0.17, 0
-0.235,-0.18, 0
-0.255,-0.18, 0
-0.26,-0.165, 0
-0.26,-0.165, 0
-0.255,-0.15, 0
-0.26,-0.165, 0
-0.275,-0.17, 0
-0.29,-0.18, 0
-0.295,-0.175, 0
-0.285,-0.165, 0
-0.275,-0.15, 0
-0.275,-0.155, 0
-0.275,-0.165, 0
-0.295,-0.17, 0
-0.295,-0.165, 0
-0.28,-0.155, 0
-0.26,-0.15, 0
-0.255,-0.155, 0
-0.265,-0.165, 0
-0.275,-0.175, 0
-0.27,-0.165, 0
-0.265,-0.14, 0
-0.265,-0.155, 0
-0.275,-0.15, 0
-0.27,-0.165, 0
-0.28,-0.18, 0
-0.275,-0.17, 0
-0.27,-0.165, 0
-0.275,-0.175, 0
-0.275,-0.2, 0
-0.285,-0.235, 0
-0.32,-0.27, 0
-0.36,-0.305, 0
-0.4,-0.325, 0
-0.415,-0.3, 0
-0.445,-0.225, 0
-0.485,-0.085, 0
-0.465,0.085, 0
-0.355,0.25, 0
-0.175,0.365, 0
0.015,0.465, 0
0.205,0.59, 0
0.445,0.705, 0
0.71,0.785, 0
0.945,0.77, 0
1.11,0.565, 1
1.14,0.19, 0
0.97,-0.14, 0
0.61,-0.25, 0
0.15,-0.225, 0
-0.22,-0.185, 0
-0.36,-0.18, 0
-0.375,-0.17, 0
-0.325,-0.165, 0
-0.285,-0.16, 0
-0.29,-0.185, 0
-0.3,-0.19, 0
-0.3,-0.175, 0
-0.285,-0.175, 0
-0.285,-0.175, 0
-0.29,-0.185, 0
-0.31,-0.185, 0
-0.33,-0.185, 0
-0.325,-0.175, 0
-0.31,-0.175, 0
-0.31,-0.185, 0
-0.32,-0.195, 0
-0.335,-0.2, 0
-0.33,-0.185, 0
-0.32,-0.175, 0
-0.305,-0.165, 0
-0.305,-0.175, 0
-0.31,-0.19, 0
-0.32,-0.19, 0
-0.325,-0.185, 0
-0.315,-0.195, 0
-0.31,-0.18, 0
-0.3,-0.185, 0
-0.315,-0.18, 0
-0.32,-0.195, 0
-0.33,-0.19, 0
-0.32,-0.175, 0
-0.305,-0.17, 0
-0.315,-0.185, 0
-0.325,-0.19, 0
-0.335,-0.2, 0
-0.33,-0.195, 0
-0.32,-0.18, 0
-0.32,-0.18, 0
-0.31,-0.185, 0
-0.335,-0.195, 0
-0.345,-0.205, 0
-0.35,-0.2, 0
-0.335,-0.18, 0
-0.335,-0.19, 0
-0.33,-0.185, 0
-0.325,-0.19, 0
-0.335,-0.21, 0
-0.34,-0.195, 0
-0.325,-0.195, 0
-0.33,-0.195, 0
-0.34,-0.195, 0
-0.345,-0.2, 0
-0.345,-0.215, 0
-0.33,-0.205, 0
-0.33,-0.185, 0
-0.32,-0.195, 0
-0.31,-0.21, 0
-0.325,-0.215, 0
-0.335,-0.235, 0
-0.345,-0.215, 0
-0.33,-0.215, 0
-0.325,-0.21, 0
-0.325,-0.225, 0
-0.32,-0.235, 0
-0.34,-0.245, 0
-0.345,-0.245, 0
-0.325,-0.23, 0
-0.32,-0.24, 0
-0.33,-0.235, 0
-0.33,-0.26, 0
-0.34,-0.27, 0
-0.35,-0.265, 0
-0.34,-0.27, 0
-0.325,-0.265, 0
-0.325,-0.275, 0
-0.335,-0.29, 0
-0.34,-0.295, 0
-0.345,-0.3, 0
-0.345,-0.295, 0
-0.345,-0.285, 0
-0.335,-0.275, 0
-0.345,-0.295, 0
-0.345,-0.315, 0
-0.35,-0.325, 0
-0.335,-0.315, 0
-0.345,-0.315, 0
-0.345,-0.31, 0
-0.34,-0.315, 0
-0.35,-0.32, 0
-0.35,-0.32, 0
-0.35,-0.3, 0
-0.335,-0.295, 0
-0.335,-0.305, 0
-0.345,-0.3, 0
-0.36,-0.285, 0
-0.35,-0.275, 0
-0.335,-0.245, 0
-0.325,-0.225, 0
-0.32,-0.21, 0
-0.3,-0.22, 0
-0.29,-0.2, 0
-0.28,-0.185, 0
-0.265,-0.165, 0
-0.25,-0.15, 0
-0.25,-0.145, 0
-0.235,-0.155, 0
-0.245,-0.15, 0
-0.25,-0.155, 0
-0.235,-0.135, 0
-0.225,-0.12, 0
-0.225,-0.115, 0
-0.23,-0.115, 0
-0.245,-0.115, 0
-0.23,-0.125, 0
-0.22,-0.11, 0
-0.205,-0.105, 0
-0.215,-0.11, 0
-0.225,-0.115, 0
-0.23,-0.125, 0
-0.235,-0.105, 0
-0.23,-0.115, 0
-0.215,-0.115, 0
-0.225,-0.11, 0
-0.23,-0.12, 0
-0.24,-0.13, 0
-0.24,-0.115, 0
-0.22,-0.09, 0
-0.22,-0.11, 0
-0.215,-0.11, 0
-0.22,-0.135, 0
-0.23,-0.14, 0
-0.23,-0.155, 0
-0.23,-0.135, 0
-0.235,-0.12, 0
-0.24,-0.115, 0
-0.25,-0.12, 0
-0.245,-0.14, 0
-0.23,-0.145, 0
-0.225,-0.145, 0
-0.225,-0.135, 0
-0.235,-0.145, 0
-0.25,-0.15, 0
-0.27,-0.14, 0
-0.26,-0.14, 0
-0.26,-0.13, 0
-0.255,-0.125, 0
-0.24,-0.13, 0
-0.255,-0.145, 0
-0.27,-0.16, 0
-0.275,-0.145, 0
-0.25,-0.14, 0
-0.25,-0.145, 0
-0.26,-0.155, 0
-0.275,-0.155, 0
-0.28,-0.16, 0
-0.27,-0.16, 0
-0.265,-0.155, 0
-0.25,-0.15, 0
-0.25,-0.14, 0
-0.265,-0.15, 0
-0.265,-0.175, 0
-0.27,-0.155, 0
-0.265,-0.155, 0
-0.265,-0.145, 0
-0.265,-0.145, 0
-0.27,-0.16, 0
-0.265,-0.17, 0
-0.26,-0.155, 0
-0.26,-0.145, 0
-0.245,-0.145, 0
-0.25,-0.16, 0
-0.27,-0.17, 0
-0.285,-0.175, 0
-0.295,-0.17, 0
-0.285,-0.155, 0
-0.255,-0.145, 0
-0.265,-0.15, 0
-0.275,-0.16, 0
-0.29,-0.17, 0
-0.3,-0.155, 0
-0.285,-0.145, 0
-0.275,-0.145, 0
-0.265,-0.155, 0
-0.265,-0.165, 0
-0.26,-0.16, 0
-0.28,-0.16, 0
-0.27,-0.16, 0
-0.255,-0.16, 0
-0.26,-0.15, 0
-0.275,-0.17, 0
-0.29,-0.175, 0
-0.295,-0.16, 0
-0.275,-0.15, 0
-0.28,-0.16, 0
-0.265,-0.17, 0
-0.26,-0.175, 0
-0.28,-0.175, 0
-0.29,-0.165, 0
-0.29,-0.155, 0
-0.27,-0.155, 0
-0.27,-0.16, 0
-0.275,-0.175, 0
-0.285,-0.185, 0
-0.28,-0.18, 0
-0.29,-0.185, 0
-0.285,-0.18, 0
-0.275,-0.18, 0
-0.285,-0.165, 0
-0.295,-0.17, 0
-0.295,-0.175, 0
-0.285,-0.175, 0
-0.27,-0.175, 0
-0.275,-0.175, 0
-0.275,-0.19, 0
-0.29,-0.195, 0
-0.305,-0.19, 0
-0.305,-0.175, 0
-0.31,-0.175, 0
-0.295,-0.175, 0
-0.28,-0.19, 0
-0.285,-0.19, 0
-0.295,-0.175, 0
-0.285,-0.175, 0
-0.28,-0.165, 0
-0.28,-0.17, 0
-0.27,-0.195, 0
-0.285,-0.2, 0
-0.29,-0.175, 0
-0.29,-0.165, 0
-0.28,-0.175, 0
-0.275,-0.175, 0
-0.3,-0.19, 0
-0.295,-0.2, 0
-0.3,-0.21, 0
-0.3,-0.195, 0
-0.29,-0.195, 0
-0.305,-0.205, 0
-0.31,-0.19, 0
-0.31,-0.19, 0
-0.295,-0.18, 0
-0.295,-0.175, 0
-0.275,-0.175, 0
-0.275,-0.18, 0
-0.275,-0.185, 0
-0.29,-0.195, 0
-0.3,-0.19, 0
-0.29,-0.185, 0
-0.285,-0.185, 0
-0.28,-0.2, 0
-0.27,-0.215, 0
-0.265,-0.195, 0
-0.275,-0.195, 0
-0.24,-0.185, 0
-0.235,-0.18, 0
-0.225,-0.185, 0
-0.23,-0.175, 0
-0.235,-0.195, 0
-0.235,-0.185, 0
-0.22,-0.175, 0
-0.2,-0.17, 0
-0.205,-0.165, 0
-0.21,-0.175, 0
-0.21,-0.17, 0
-0.21,-0.16, 0
-0.205,-0.155, 0
-0.21,-0.155, 0
-0.215,-0.155, 0
-0.225,-0.175, 0
-0.24,-0.185, 0
-0.23,-0.175, 0
-0.24,-0.16, 0
-0.24,-0.15, 0
-0.235,-0.165, 0
-0.22,-0.185, 0
-0.22,-0.18, 0
-0.215,-0.18, 0
-0.235,-0.185, 0
-0.25,-0.175, 0
-0.27,-0.19, 0
-0.305,-0.205, 0
